,AUROC,AUPRC,F2,Recall
Model 1: Clinical (SEER),0.7358539094650206,0.2251759583047367,0.6198347107438017,0.8333333333333334
Model 2: Genomic (TCGA),0.896604938271605,0.5636345530744397,0.6818181818181818,0.8333333333333334
Model 3: Imaging (TCGA),0.9284979423868313,0.8971312499996076,0.8620689655172413,0.8333333333333334
Fusion A: Simple avg,0.9789094650205762,0.9154202260848514,0.8426966292134831,0.8333333333333334
Fusion B: Weighted avg,0.9804526748971194,0.9260332854111459,0.8522727272727273,0.8333333333333334
Fusion C: Stacking,0.9686213991769548,0.916002212137478,0.8620689655172413,0.8333333333333334
Fusion D: Cascade max,0.9598765432098766,0.8151429743337035,0.8064516129032258,0.8333333333333334
BEF: Bayesian Evidence Fusion,0.9794238683127572,0.910238802601619,0.8426966292134831,0.8333333333333334
DST: Dempster-Shafer Fusion,0.9804526748971194,0.9346932358517726,0.8620689655172413,0.8333333333333334
OT: Optimal Transport Fusion,0.9696502057613169,0.9248538226659515,0.8620689655172413,0.8333333333333334
